"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"31001795";"CALLE                   ";"DE LOS";"CANARIOS                                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001796";"CALLE                   ";"DEL   ";"MAYORAZGO DE DUARTE                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001796";"CALLE                   ";"DEL   ";"MAYORAZGO DE DUARTE                             ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001797";"CALLE                   ";"DE LAS";"SUERTES DE LA VILLA                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001797";"CALLE                   ";"DE LAS";"SUERTES DE LA VILLA                             ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001798";"CALLE                   ";"DEL   ";"CERRO DEL MONTE                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001798";"CALLE                   ";"DEL   ";"CERRO DEL MONTE                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001799";"CALLE                   ";"DEL   ";"CERRO DEL TESORO                                ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001799";"CALLE                   ";"DEL   ";"CERRO DEL TESORO                                ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001800";"CALLE                   ";"DEL   ";"CERRO DEL CAMPO                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001800";"CALLE                   ";"DEL   ";"CERRO DEL CAMPO                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
"31001801";"CALLE                   ";"DEL   ";"MARQUES DE CASA TILLY                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28052";"N/D"
"31001801";"CALLE                   ";"DEL   ";"MARQUES DE CASA TILLY                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28052";"N/D"
