"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"00000127";"CALLE                   ";"DE    ";"ISABEL COLBRAND                                 ";"par  ";"NUM";"000002";"  ";"000012";"  ";"28050";"N/D"
"00000127";"CALLE                   ";"DE    ";"ISABEL COLBRAND                                 ";"par  ";"NUM";"000014";"  ";"000022";"  ";"28050";"N/D"
"00000127";"CALLE                   ";"DE    ";"ISABEL COLBRAND                                 ";"par  ";"NUM";"000024";"  ";"009998";"  ";"28050";"N/D"
"00000150";"CALLE                   ";"DE    ";"GONZALEZ DAVILA                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28031";"N/D"
"00000150";"CALLE                   ";"DE    ";"GONZALEZ DAVILA                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28031";"N/D"
"00000200";"CALLE                   ";"DE LA ";"ABADA                                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28013";"N/D"
"00000200";"CALLE                   ";"DE LA ";"ABADA                                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28013";"N/D"
"00000300";"CALLE                   ";"DE LOS";"ABADES                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28012";"N/D"
"00000300";"CALLE                   ";"DE LOS";"ABADES                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28012";"N/D"
"00000400";"CALLE                   ";"DE LA ";"ABADESA                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28039";"N/D"
"00000400";"CALLE                   ";"DE LA ";"ABADESA                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28039";"N/D"
"00000600";"CALLE                   ";"DE    ";"ABALOS                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28043";"N/D"
"00000600";"CALLE                   ";"DE    ";"ABALOS                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28043";"N/D"
"00000700";"CALLE                   ";"DEL   ";"ABANICO                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28037";"N/D"
"00000700";"CALLE                   ";"DEL   ";"ABANICO                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28037";"N/D"
"00000702";"AVENIDA                 ";"DE LA ";"FUENTE DE LA MORA                               ";"impar";"NUM";"000001";"  ";"009999";"  ";"28050";"N/D"
"00000702";"AVENIDA                 ";"DE LA ";"FUENTE DE LA MORA                               ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28050";"N/D"
"00000703";"CALLE                   ";"DE    ";"FEDERICO MORENO TORROBA                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28007";"N/D"
"00000703";"CALLE                   ";"DE    ";"FEDERICO MORENO TORROBA                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28007";"N/D"
"00000704";"PLAZA                   ";"DE    ";"ANDRES SEGOVIA                                  ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000704";"PLAZA                   ";"DE    ";"ANDRES SEGOVIA                                  ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28002";"N/D"
"00000705";"CALLE                   ";"DEL   ";"CONCEJAL BENITO MARTIN LOZANO                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28005";"N/D"
"00000705";"CALLE                   ";"DEL   ";"CONCEJAL BENITO MARTIN LOZANO                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28005";"N/D"
"00000706";"PASAJE                  ";"DEL   ";"OLIVINO                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000706";"PASAJE                  ";"DEL   ";"OLIVINO                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000707";"CALLE                   ";"DE LAS";"PLANTAS                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000707";"CALLE                   ";"DE LAS";"PLANTAS                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000708";"CALLE                   ";"DE LAS";"HIERBAS                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000708";"CALLE                   ";"DE LAS";"HIERBAS                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000709";"CALLE                   ";"DEL   ";"ANIS                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000709";"CALLE                   ";"DEL   ";"ANIS                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000710";"CALLE                   ";"DEL   ";"EBANO                                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000710";"CALLE                   ";"DEL   ";"EBANO                                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000711";"CALLE                   ";"DEL   ";"ALCORNOQUE                                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000711";"CALLE                   ";"DEL   ";"ALCORNOQUE                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000712";"CALLE                   ";"DEL   ";"PALOSANTO                                       ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000712";"CALLE                   ";"DEL   ";"PALOSANTO                                       ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000713";"CALLE                   ";"DEL   ";"MORTERO                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000713";"CALLE                   ";"DEL   ";"MORTERO                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000714";"CALLE                   ";"DEL   ";"AUTILLO                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000714";"CALLE                   ";"DEL   ";"AUTILLO                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000715";"RONDA                   ";"DE LAS";"FLORES                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000715";"RONDA                   ";"DE LAS";"FLORES                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000716";"CALLE                   ";"DE    ";"FRANCISCO GIRALTE                               ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000716";"CALLE                   ";"DE    ";"FRANCISCO GIRALTE                               ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28002";"N/D"
"00000717";"CALLE                   ";"DEL   ";"CARDENAL MARCELO SPINOLA                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28016";"N/D"
"00000717";"CALLE                   ";"DEL   ";"CARDENAL MARCELO SPINOLA                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28016";"N/D"
"00000718";"CALLE                   ";"DE    ";"JOSEP PLA                                       ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000718";"CALLE                   ";"DE    ";"JOSEP PLA                                       ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28002";"N/D"
"00000719";"JARDINES                ";"DE    ";"PABLO SOROZABAL                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000719";"JARDINES                ";"DE    ";"PABLO SOROZABAL                                 ";"par  ";"NUM";"000002";"  ";"009999";"  ";"28002";"N/D"
"00000720";"CALLE                   ";"DE    ";"FOBOS                                           ";"impar";"NUM";"000001";"  ";"000019";"  ";"28030";"N/D"
"00000720";"CALLE                   ";"DE    ";"FOBOS                                           ";"impar";"NUM";"000021";"  ";"009999";"  ";"28030";"N/D"
"00000720";"CALLE                   ";"DE    ";"FOBOS                                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28030";"N/D"
"00000721";"CALLE                   ";"DE    ";"OBERON                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28030";"N/D"
"00000721";"CALLE                   ";"DE    ";"OBERON                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28030";"N/D"
"00000722";"CALLE                   ";"DE    ";"NICOLAS MARIA URGOITI                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28035";"N/D"
"00000722";"CALLE                   ";"DE    ";"NICOLAS MARIA URGOITI                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28035";"N/D"
"00000723";"CALLE                   ";"DEL   ";"HELECHO                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000723";"CALLE                   ";"DEL   ";"HELECHO                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28002";"N/D"
"00000724";"CALLE                   ";"DE    ";"LA ESTRADA                                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28034";"N/D"
"00000724";"CALLE                   ";"DE    ";"LA ESTRADA                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28034";"N/D"
"00000725";"PASEO                   ";"DEL   ";"ZURRON                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"00000725";"PASEO                   ";"DEL   ";"ZURRON                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"00000726";"CALLE                   ";"DEL   ";"MURO                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"00000726";"CALLE                   ";"DEL   ";"MURO                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"00000727";"CALLE                   ";"DE    ";"CALDERON                                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28042";"N/D"
"00000727";"CALLE                   ";"DE    ";"CALDERON                                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28042";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"impar";"NUM";"000001";"  ";"000001";"  ";"28033";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"impar";"NUM";"000003";"  ";"000013";"  ";"28033";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"impar";"NUM";"000015";"  ";"000063";"  ";"28043";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"impar";"NUM";"000065";"  ";"009999";"  ";"28043";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"par  ";"NUM";"000002";"  ";"000004";"  ";"28033";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"par  ";"NUM";"000006";"  ";"000026";"  ";"28033";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"par  ";"NUM";"000028";"  ";"000082";"  ";"28043";"N/D"
"00000728";"AVENIDA                 ";"DE LA ";"GRAN VIA DE HORTALEZA                           ";"par  ";"NUM";"000084";"  ";"009998";"  ";"28043";"N/D"
"00000729";"CALLE                   ";"DE    ";"PEDRO MORENO                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28020";"N/D"
"00000729";"CALLE                   ";"DE    ";"PEDRO MORENO                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28020";"N/D"
"00000730";"CALLE                   ";"DE    ";"FRANCISCO GINER DE LOS RIOS                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000730";"CALLE                   ";"DE    ";"FRANCISCO GINER DE LOS RIOS                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000731";"COSTANILLA              ";"DEL   ";"CALERO                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000731";"COSTANILLA              ";"DEL   ";"CALERO                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000732";"TRAVESIA                ";"DE    ";"CESAR GONZALEZ RUANO                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000732";"TRAVESIA                ";"DE    ";"CESAR GONZALEZ RUANO                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000733";"CALLE                   ";"DE    ";"LUIS CERNUDA                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000733";"CALLE                   ";"DE    ";"LUIS CERNUDA                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000734";"CALLE                   ";"DE    ";"FERNANDO PESSOA                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000734";"CALLE                   ";"DE    ";"FERNANDO PESSOA                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000735";"CALLE                   ";"DE LA ";"ELECTRONICA                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000735";"CALLE                   ";"DE LA ";"ELECTRONICA                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000736";"CALLE                   ";"DEL   ";"PADRE COLOMA                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000736";"CALLE                   ";"DEL   ";"PADRE COLOMA                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000737";"CALLE                   ";"DE LAS";"BATERIAS                                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000737";"CALLE                   ";"DE LAS";"BATERIAS                                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000738";"CALLE                   ";"DE    ";"MARIA ZAMBRANO                                  ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000738";"CALLE                   ";"DE    ";"MARIA ZAMBRANO                                  ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000739";"CALLE                   ";"DE LA ";"VIRGEN DEL ESPINO                               ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000739";"CALLE                   ";"DE LA ";"VIRGEN DEL ESPINO                               ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000740";"CALLE                   ";"DE    ";"FELIPE TRIGO                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000740";"CALLE                   ";"DE    ";"FELIPE TRIGO                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000741";"CALLE                   ";"DEL   ";"CERRO                                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000741";"CALLE                   ";"DEL   ";"CERRO                                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000742";"TRAVESIA                ";"DEL   ";"CONDADO DE TREVIÑO                              ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000742";"TRAVESIA                ";"DEL   ";"CONDADO DE TREVIÑO                              ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000743";"CALLE                   ";"DE LA ";"SENDA                                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000743";"CALLE                   ";"DE LA ";"SENDA                                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000744";"CALLE                   ";"DE LA ";"VEREDA                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000744";"CALLE                   ";"DE LA ";"VEREDA                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000745";"CALLE                   ";"DEL   ";"ARTE                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000745";"CALLE                   ";"DEL   ";"ARTE                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000746";"CALLE                   ";"DE LA ";"CULTURA                                         ";"impar";"NUM";"000001";"  ";"000005";"  ";"28033";"N/D"
"00000746";"CALLE                   ";"DE LA ";"CULTURA                                         ";"impar";"NUM";"000007";"  ";"009999";"  ";"28033";"N/D"
"00000746";"CALLE                   ";"DE LA ";"CULTURA                                         ";"par  ";"NUM";"000002";"  ";"000008";"  ";"28033";"N/D"
"00000746";"CALLE                   ";"DE LA ";"CULTURA                                         ";"par  ";"NUM";"000010";"  ";"009998";"  ";"28033";"N/D"
"00000747";"CALLE                   ";"DEL   ";"VIOLIN                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000747";"CALLE                   ";"DEL   ";"VIOLIN                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000748";"CALLE                   ";"DEL   ";"OBOE                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000748";"CALLE                   ";"DEL   ";"OBOE                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000749";"CALLE                   ";"DEL   ";"LAUD                                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000749";"CALLE                   ";"DEL   ";"LAUD                                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000750";"CALLE                   ";"DEL   ";"QUEROL                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000750";"CALLE                   ";"DEL   ";"QUEROL                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000751";"CALLE                   ";"DE LA ";"DULZAINA                                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000751";"CALLE                   ";"DE LA ";"DULZAINA                                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000752";"PASAJE                  ";"DE    ";"CALERUEGA                                       ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000752";"PASAJE                  ";"DE    ";"CALERUEGA                                       ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000753";"CALLE                   ";"DE LA ";"EDUCACION                                       ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000753";"CALLE                   ";"DE LA ";"EDUCACION                                       ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000754";"CALLE                   ";"DEL   ";"CANAL DE PANAMA                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000754";"CALLE                   ";"DEL   ";"CANAL DE PANAMA                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000755";"CALLE                   ";"DEL   ";"CANAL DE MOZAMBIQUE                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000755";"CALLE                   ";"DEL   ";"CANAL DE MOZAMBIQUE                             ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000756";"CALLE                   ";"DE    ";"PABLO SANCHEZ                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000756";"CALLE                   ";"DE    ";"PABLO SANCHEZ                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000757";"CALLE                   ";"DE LA ";"INDULGENCIA                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000757";"CALLE                   ";"DE LA ";"INDULGENCIA                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000758";"CALLE                   ";"DE LA ";"DALIA                                           ";"impar";"NUM";"000001";"  ";"000003";"  ";"28033";"N/D"
"00000758";"CALLE                   ";"DE LA ";"DALIA                                           ";"impar";"NUM";"000005";"  ";"009999";"  ";"28033";"N/D"
"00000758";"CALLE                   ";"DE LA ";"DALIA                                           ";"par  ";"NUM";"000002";"  ";"000004";"  ";"28033";"N/D"
"00000758";"CALLE                   ";"DE LA ";"DALIA                                           ";"par  ";"NUM";"000006";"  ";"009998";"  ";"28033";"N/D"
"00000759";"CAMINO                  ";"DE LA ";"CUERDA                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000759";"CAMINO                  ";"DE LA ";"CUERDA                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000760";"CALLE                   ";"DE    ";"BRIVIESCA                                       ";"impar";"NUM";"000001";"  ";"009999";"  ";"28033";"N/D"
"00000760";"CALLE                   ";"DE    ";"BRIVIESCA                                       ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28033";"N/D"
"00000761";"CALLE                   ";"DE    ";"JOSE BASTOS                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000761";"CALLE                   ";"DE    ";"JOSE BASTOS                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000762";"CALLE                   ";"DE LA ";"LAGUNA DE LOS PAJAROS                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000762";"CALLE                   ";"DE LA ";"LAGUNA DE LOS PAJAROS                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000763";"CALLE                   ";"DEL   ";"PICO DE LA GOLONDRINA                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000763";"CALLE                   ";"DEL   ";"PICO DE LA GOLONDRINA                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000764";"CALLE                   ";"DE LA ";"LOMA DE LOS BAILANDEROS                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000764";"CALLE                   ";"DE LA ";"LOMA DE LOS BAILANDEROS                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000765";"CALLE                   ";"DEL   ";"PUERTO DE FUENFRIA                              ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000765";"CALLE                   ";"DEL   ";"PUERTO DE FUENFRIA                              ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000766";"CALLE                   ";"DEL   ";"PICO ALMENARA                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000766";"CALLE                   ";"DEL   ";"PICO ALMENARA                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000767";"CALLE                   ";"DEL   ";"MONTON DE TRIGO                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000767";"CALLE                   ";"DEL   ";"MONTON DE TRIGO                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000768";"CALLE                   ";"DE    ";"CABEZA LIJAR                                    ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000768";"CALLE                   ";"DE    ";"CABEZA LIJAR                                    ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000769";"CALLE                   ";"DEL   ";"CERRO SAN PEDRO                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000769";"CALLE                   ";"DEL   ";"CERRO SAN PEDRO                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000772";"CALLE                   ";"DE LA ";"PEÑA DEL YELMO                                  ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000772";"CALLE                   ";"DE LA ";"PEÑA DEL YELMO                                  ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000774";"CALLE                   ";"DEL   ";"CALENDARIO                                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28022";"N/D"
"00000774";"CALLE                   ";"DEL   ";"CALENDARIO                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28022";"N/D"
"00000775";"PLAZA                   ";"DEL   ";"VERANO                                          ";"impar";"NUM";"000001";"  ";"009999";"  ";"28022";"N/D"
"00000775";"PLAZA                   ";"DEL   ";"VERANO                                          ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28022";"N/D"
"00000776";"AVENIDA                 ";"      ";"FIN DE SEMANA                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28022";"N/D"
"00000776";"AVENIDA                 ";"      ";"FIN DE SEMANA                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28022";"N/D"
"00000777";"AVENIDA                 ";"DEL   ";"INVIERNO                                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28022";"N/D"
"00000777";"AVENIDA                 ";"DEL   ";"INVIERNO                                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28022";"N/D"
"00000778";"PLAZA                   ";"DE    ";"JUAN DE LA COSSA                                ";"impar";"NUM";"000001";"  ";"009999";"  ";"28016";"N/D"
"00000778";"PLAZA                   ";"DE    ";"JUAN DE LA COSSA                                ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28016";"N/D"
"00000779";"CALLE                   ";"DE    ";"DOÑA JUANA I DE CASTILLA                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000779";"CALLE                   ";"DE    ";"DOÑA JUANA I DE CASTILLA                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000780";"CALLE                   ";"DEL   ";"DOCTOR ZAMENHOF                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28027";"N/D"
"00000780";"CALLE                   ";"DEL   ";"DOCTOR ZAMENHOF                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28027";"N/D"
"00000781";"PLAZA                   ";"DE    ";"RODOLFO Y ERNESTO HALFFTER                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000781";"PLAZA                   ";"DE    ";"RODOLFO Y ERNESTO HALFFTER                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28002";"N/D"
"00000782";"PLAZA                   ";"DE    ";"JOAQUIN RODRIGO                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28002";"N/D"
"00000782";"PLAZA                   ";"DE    ";"JOAQUIN RODRIGO                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28002";"N/D"
"00000783";"CALLE                   ";"DEL   ";"RISCO DE LOS CLAVELES                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000783";"CALLE                   ";"DEL   ";"RISCO DE LOS CLAVELES                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000784";"CALLE                   ";"DEL   ";"PICO OCEJON                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000784";"CALLE                   ";"DEL   ";"PICO OCEJON                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000785";"CALLE                   ";"DE LAS";"CINCO LAGUNAS                                   ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000785";"CALLE                   ";"DE LAS";"CINCO LAGUNAS                                   ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000786";"CALLE                   ";"DEL   ";"PICO DE LA MIEL                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28023";"N/D"
"00000786";"CALLE                   ";"DEL   ";"PICO DE LA MIEL                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28023";"N/D"
"00000787";"CALLE                   ";"DE    ";"JOSE BARDASANO BAOS                             ";"impar";"NUM";"000001";"  ";"009999";"  ";"28016";"N/D"
"00000787";"CALLE                   ";"DE    ";"JOSE BARDASANO BAOS                             ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28016";"N/D"
"00000788";"CALLE                   ";"DE    ";"CALELLA                                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28038";"N/D"
"00000788";"CALLE                   ";"DE    ";"CALELLA                                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28038";"N/D"
